단어,개수
곱지,1
않다,8
현재,190
경영진과,3
현지에서,10
적극,68
영업,19
중이다셀트리온,2
관계자는,356
서정진,4
회장을,44
비롯한,36
그룹,102
경영진이,17
중으로,3
옵텀,1
이외,6
와,1
협상이,3
활발히,4
중이라며,3
주주가치,2
제고를,37
위해서도,2
올해,442
하반기,43
순차적,3
허가와,2
론칭을,3
말했다서정진,2
회장,13
사진,21
셀트리온구현주,6
,7
방현철,1
박사의,2
머니머니,1
실적,3
지배구조,8
건전성,2
우수한,29
코스닥,102
상장사는,1
일,60
오후,45
시,3
조선일보의,1
경제,49
유튜브,5
채널,1
조선일보,1
머니와,1
조선닷컴을,1
통해,472
공개된,4
방현철,1
머니머니에선,1
김도형,3
삼성자산운용본부,1
컨설팅본부장과,1
함께,138
코스닥,16
우등생,1
세그먼트,3
투자라는,1
주제로,13
얘기를,4
나눴습니다코스닥,1
우량주,2
,2
,2
영상으로,2
확인,2
,54
코스닥,1
세그먼트는,1
우량,37
상장사들의,3
저평가,6
문제를,8
해소한다는,1
취지로,9
작년,67
월,49
출범했습니다,1
본부장은,10
영상에서,2
코스피,1
시장,475
상장,78
기업수가,1
개인데,1
시장은,44
개로,1
상당히,5
많은,83
기업이,44
상장돼있다며,1
코스닥,2
시장의,68
양적,1
성장에도,1
한,205
시장에서,151
관리돼,1
대형,26
우량상위기업,1
문제가,14
지속적으로,40
거론돼왔다고,1
했습니다,11
이어,250
계속된,1
저평가는,1
외국인과,11
기관,10
투자를,34
코스피,15
대비,346
저조하게,1
만들었다고,1
설명했습니다,9
김,23
미국의,1
나스닥,3
셀렉트,7
마켓을,1
벤치마킹해,1
까다로운,1
선발과정을,1
통과한,7
개,18
기업일,1
기준이,2
편입돼있다고,1
도입으로,2
대형우량,1
종목을,8
모아,2
상장사와,1
차별되는,1
혜택과,1
의무를,1
부여하고,1
종목,8
인지도를,1
높여,8
기관의,5
유치하겠다는,1
것입니다코스닥,1
세그먼트에,9
편입되려면,2
시가총액,7
재무실적,7
기업,168
건전성,8
회계투명성,1
가지,1
자격,3
요건을,2
갖춰야,2
합니다,12
시가총액,1
억원,7
이상,4
매출,298
억원과,1
영업이익,65
억원,1
이상이어야,1
하고,91
지배구조,21
평가등급은,1
등급,1
이상만,1
편입하며,1
기업건전성과,1
회계투명성도,1
우수해야,1
한다고,20
바이오기업은,2
요건은,2
이들보다,1
좀더,1
까다롭습니다종목,1
수가,6
개로,2
적다보니,1
대표,42
대부분,11
속해있다고,1
볼,14
있습니다,33
대표,1
차전지,19
에코프로비엠과,1
엘앤에프,7
반도체,36
소부장,32
대표기업,1
리노공업과,1
원익아이피에스,1
있으며,12
바이오,258
대표기업으로는,1
셀트리온헬스케어와,17
알테오젠,4
또한,45
글로벌,16
컬쳐를,1
선도하는,1
엔터테인먼트사,1
엔터테인먼트도,1
포함돼있다며,1
속한,9
기업을,29
예로,1
들었습니다일에는,1
지수를,9
추종하는,8
국내,253
첫,74
상장지수펀드가,1
등장했습니다,1
삼성자산운용본부에서,1
내놓은,11
,1
코스닥글로벌,62
도,1
해당합니다,1
현재,21
에코프로비엠이,1
로,1
가장,99
큰,160
비중을,23
차지하고,1
셀트리온헬스케어,50
,12
,1
상위를,2
차지한다고,1
지수,8
,27
상품화를,1
계기로,4
해소되면서,2
중장기적으로,3
및,649
코스닥지수,1
양호한,5
수익률을,3
보여줄,3
것으로,486
기대하고,66
있다며,59
우리나라,1
차세대,57
성장산업에,2
집중적으로,8
장기,10
투자하고,13
싶은,2
분들이,2
관심갖기,1
적절하다고,1
설명했습니다이외에도,1
코스닥과의,1
차이점,1
편입된,5
소수,16
기업의,31
성과,1
투자,69
시,35
유의점,1
등에,60
대해,204
자세한,6
내용은,10
아래,10
확인할,13
있습니다코스닥,1
,1
삼성바이오에피스,5
셀트리온이,211
조원에,3
달하는,22
휴미라성분명,3
아달리무맙,3
공략을,13
본격화한다,3
특히,148
미국의,26
사보험,13
리스트에,2
등재돼,4
책정,1
합리적인,1
가격을,6
받아,44
처방경쟁에서,1
우위를,10
확보하기,10
위해,330
박차를,33
가하고,4
제약바이오,62
업계에,33
삼성바이오에피스와,6
주도권을,1
잡기,1
베링거인겔하임,3
화이자,8
코헤러스,2
프레지니우스카비,1
암젠,9
산도즈,4
알보텍,1
비아트리스,1
해외,70
기업들과의,1
처방,73
경쟁을,7
삼성바이오에피스는,15
내달,11
일,15
바이오시밀러인,38
하드리마를,2
시장에,121
출시하고,2
셀트리온도,17
중,197
유플라이마를,3
선보일,15
예정이다월에,1
특허가,29
만료되는,4
애브비의,10
휴미라는,33
지난해,413
약,334
억만,7
달러약,50
조억원의,10
매출을,119
기록한,31
블록버스터,120
의약품이다,11
팔린,3
금액만,1
억,5
조원,2
에,2
달한다,37
누적,21
매출액은,46
년,2
출시된,36
지난해까지,3
억달러로,1
세계,136
위,26
류마티스전선성,2
관절염,75
강직성,21
척추염,13
크론병,35
등의,181
치료에,45
쓰인다,6
수요가,19
고농도,120
제형을,40
허가받아,4
상품화한다,1
제형은,9
약물,93
투여량을,22
저농도의,3
절반으로,22
줄일,3
있는,491
강점이,7
시장조사기관,15
심포니헬스와,7
아이큐비아에,17
미국에서,147
판매된,5
아달리무맙의,19
는,8
제형이,11
차지했다,6
삼성바이오에피스제품명,2
하드리마는,2
제형과,25
저농도,33
모두,92
허가받았고,1
셀트리온제품명,2
유플라이마은,2
허가받았다,2
주목되는,2
것은,58
주요,288
처방약급여관리업체,5
목록에,6
등재될,1
있을지,7
여부다,3
대,4
곳인,2
옥텀는,1
연초,6
암젠에,3
최근,204
산도스,1
베링거인겔하임을,2
바이오시밀러의,57
기업으로,51
결정했다,26
또,137
다른,73
인,1
케어마크는,1
당분간,3
오리지널,314
등재만을,1
유지한다고,1
밝힌,26
만큼,137
익스프레스,4
스크립트,2
,1
노려야,3
한다정부가,1
약값을,6
결정하는,4
한국과,4
미국은,7
체제이다,1
보니,8
민간이,2
정하는,3
경우가,7
많다,10
리베이트,11
수준을,8
협의하고,1
약국에서,11
가능한,45
약제,4
목록을,3
관리한다,2
케어마크와,1
스크립트,1
유나이티드,2
헬스,2
산하의,2
옵텀,1
개,12
이,3
과점하고,1
목록,4
등재에,7
성공하면,6
확장에,28
유리한,5
입지를,29
확보할,54
셀트리온헬스케어,144
이와,48
관련해,44
전체,1
아달리무맙,97
를,6
대상으로,213
하는,73
것이,85
목표라며,3
제품의,1
차별성과,3
품질,6
우수성을,5
바탕으로,72
수익성을,10
고려해,31
과,3
협의를,24
있다고,44
밝혔다,288
삼성바이오에피스,13
측은,99
계약,1
건과,3
관련된,17
내용이라,1
입장을,20
밝히기,1
조심스럽다고,1
말했다,291
제약바이오,41
업계,54
셀트리온과,6
초기,15
빠르게,63
파고들기,1
위해선,10
옵텀,1
,1
외,12
이나,2
공보험을,4
한다며,7
익스프레스,1
스크립츠,1
여부가,11
점유율,97
성패를,1
가를,3
보인다고,5
왼쪽부터,4
공장,1
사옥,1
각사,11
제공,21
삼성전자,1
장중,17
주,10
신고가,9
썼지만,1
,2
하락코스닥지수도,1
,4
원달러,1
환율,1
거래일,3
연속,32
원선,1
코스피지수가,4
거래일,4
하락했다,18
출발했던,1
코스피지수는,5
장,19
막판,1
투자자들의,15
매도세로,1
낙폭을,7
키웠다,2
기준금리가,2
안에,24
번,16
오를,5
있다는,107
소식과,3
미,8
달러화에,2
대한,371
원화,5
환율원달러,1
환율이,1
급히,2
오른,72
점도,18
영향을,56
준,5
보인다,32
서울,61
중구,4
명동,1
하나은행,2
딜링룸,1
뉴스,7
거래일,27
포인트,2
에,1
거래를,22
마쳤다,26
코스피는,9
전날보다,4
,2
하락한,18
에,2
개장한,1
뒤,48
까지,1
올랐으나,1
들어,24
키웠다유가증권시장에서,1
개인과,8
외국인은,9
각각,151
억원,1
억원을,1
사들였다,2
기관은,14
억원을,1
팔아치웠다,1
투자자는,1
선물시장에서도,1
억원을,1
순매도했다코스피,1
시가총액,21
상위,24
종목들은,3
혼조세로,3
마감했다,35
삼성전자는,4
신고가를,5
쓰기도,2
했지만,18
하이닉스는,4
,1
상승했다,12
에너지솔루션과,1
삼성는,1
,1
,2
올랐지만,4
화학은,1
,3
내렸다,6
이밖에,6
네이버와,1
현대차,1
기아는,1
약세를,8
보였다코스닥지수는,1
전장,3
포인트,2
로,1
장을,31
코스닥시장에서는,2
기관이,7
억원,1
억원을,1
순매수한,7
가운데,21
억원을,1
순매도했다코스닥,1
시총,10
종목도,1
흐름이,10
엇갈렸다,1
에코프로는,2
,3
상승했고,3
와,1
셀트리온헬스케어도,9
,1
,1
올랐다,23
반면,28
펄어비스와,1
리노공업은,1
,1
이외에도,12
,2
카카오게임즈도,1
하락,33
마감했다김석환,2
미래에셋증권,4
파월,1
의장의,11
연내,114
회,1
금리,11
인상,7
가능이라는,1
매파적,4
발언에,2
원달러,4
환율이,3
원,1
이상,62
올랐다며,1
실적,3
기대감이,19
반영된,14
일부,61
업종만,1
상승하며,7
동력은,1
부족했다고,1
말했다이날,4
환율은,6
원,1
원에,1
일부터,17
원선을,1
웃돌고,1
있다이경민,1
대신증권,2
투자전략팀장은,2
추가,1
인상에,4
우려는,2
이미,103
상당,3
부분,6
보인다며,5
단기,1
부담을,3
덜어,1
놓는,2
다소,8
불안한,3
등락이,1
반복된,1
추정된다고,2
설명했다간밤,1
뉴욕증시는,2
제롬,4
파월,7
연방준비제도연준,4
긴축,5
발언과,2
엔비디아,2
인공지능,14
관련주,3
약세,3
속에,7
마감했다일미,2
동부,2
시각,7
뉴욕증권거래소에서,2
다우존스산업평균지수는,2
전장보다,11
포인트,2
만으로,2
스탠더드앤드푸어스지수는,2
포인트,2
떨어진,11
으로,2
나스닥지수는,2
포인트,2
만로,2
제작,1
최자윤,1
일러스트,1
서울연합뉴스,8
이민영,2
코스피가,1
우려,6
따라,180
하락세로,2
종가는,5
로,1
집계됐다,7
지수는,32
포인트,2
로,2
출발한,2
소폭,11
상승하다,1
전환했다,2
유가증권시장에서,12
천억원어치를,1
순매도하면서,1
끌어,1
천억원,1
억원어치를,1
순매수했다,6
의장이,11
연속,1
가능성을,21
열어둔,1
여파로,5
흐름을,7
보였다,26
의장은,10
일현지시간,2
포르투갈에서,2
유럽중앙은행,2
포럼에서,2
연속적인,1
변동,8
논의에서,1
배제하지,1
않고,67
이재선,1
현대차증권,3
파월,1
발언으로,1
연준의,1
우려가,12
커졌다며,2
또한,4
수급,2
방향이,1
계속,29
전환하는,2
수급의,1
불안,10
요인을,1
키웠다고,1
설명했다,87
삼성전자,1
화학,1
현대차,1
에너지솔루션,1
삼성,1
하이닉스는,1
초반,10
기록했으나,1
차익,1
실현,1
매물,5
여파,1
등으로,70
업종별로는,3
제조업,1
화학,1
운수장비,1
의약품,1
전기가스업,1
등은,26
코스닥지수,1
이다,1
거래일보다,19
포인트,2
로,2
억원어치를,1
순매도했다,2
억원,1
억원어치를,1
가운데,73
에코프로,1
셀트리온헬스케어,1
엔터테인먼트,1
에코프로비엠,1
펄어비스,1
카카오게임즈,1
하루,8
유가증권시장과,1
코스닥시장의,1
거래,32
대금은,2
조천억원,1
조천억원으로,1
,2
삼성미래에셋운용,1
동시,11
상장반도체차전지콘텐츠바이오,1
등코스닥,1
성장,76
사업군,2
고루,2
한국거래소,3
유가증권시장본부는,1
오전,58
시,8
서울사옥,1
홍보관에서,1
세그먼트,2
연계상품으로,1
재무실적기업,1
건전성지배구조,1
요건,1
충족해,1
코스닥시장,1
기업으로,1
선정된,8
기업에,51
투자하는,9
상장기념식을,1
개최했다,11
홍순욱,1
코스닥시장본부장,1
이병성,1
미래에셋자산운용,7
대표이사,5
서봉균,1
삼성자산운용,8
손병두,1
이사장이,1
기념촬영을,4
있다,1
사진제공한국거래소서울경제,1
삼성자산운용과,1
미래에셋자산운용이,2
코스닥에서,2
블루칩,9
기업들을,11
추린,1
코스닥글로벌지수를,1
상장지수펀드를,2
동시에,22
선보였다,4
본지,1
월,49
일자,1
면,1
참조일,1
한국거래소에,18
삼성자산운용의,1
,5
와,1
미래에셋자산운용의,1
,8
가,1
유가증권시장에,1
신규,139
상장했다,1
총보수는,1
연,23
,1
다이들,1
가,7
기초지수로,1
삼는,4
코스닥글로벌지수는,1
우량한,4
만든,10
지수다,1
거래소가,1
나스닥글로벌셀렉트세그먼트를,1
롤모델로,1
삼아,6
코스닥에,3
잔류하게,1
해,37
기업들의,19
저평가를,1
해소하면서,1
위상을,1
높이겠다는,2
만들었다코스닥글로벌세그먼트에,1
기업은,31
억,1
원,36
조,11
원과,2
자기자본,1
억,2
원을,30
넘어야,3
한다,51
지배구조와,1
회계,8
투명성,8
다양한,136
환경사회지배구조,1
요소를,4
충족한,8
편입해,1
기존,156
,6
기업들로,8
구성된,4
코스닥지수와,1
차별화를,8
꾀했다는,2
평가를,9
받는다,2
코스닥글로벌세그먼트지수에,1
종목은,4
원익,4
솔브레인,3
리노공업,2
,1
카카오게임즈,2
에코프로비엠,3
셀트리온헬스케어,10
엘앤에프,1
산업군별,1
중심으로,37
균형,1
있게,34
구성됐다,4
이들,43
시가총액은,10
조,1
억,1
원으로,15
전체,118
시총조,1
억,1
원의,4
,1
수준이다금융투자,1
업계는,6
코스닥글로벌지수의,1
상품화로,1
개인투자자들이,1
안정적으로,9
투자할,24
환경이,8
마련됐다고,1
평가했다,11
를,6
통한,32
패시브,2
자금시장지수,1
추종,1
자금,1
유입이,1
늘어,2
기관과,3
외국인의,4
확대를,23
이끌어낼,1
관측도,6
제기된다,3
코로나,75
팬데믹,18
주목을,12
받았던,1
개발,383
사업이,6
하나,4
둘,2
좌초되고,1
엔데믹을,3
맞아,4
국내외,69
제약사가,4
사업에서,8
손을,9
떼는,3
모양새다엔데믹이라는,1
그래도,2
감염병이,2
풍토병으로,2
굳어지면서,2
치료제에,3
없어,13
수익성은,5
물론,8
사회공헌,2
차원에서도,3
효과를,44
기대하기,3
어려워서다일,1
초,59
이사회에서,29
제약사,59
머크가,3
개발한,140
몰누피라비르제품명,3
라게브리오의,3
복제약제네릭을,3
생산하기,3
맺은,7
라이선스,11
계약을,123
해지했다셀트리온은,1
월,39
국제의약품특허풀이,3
선정한,10
몰누피라비르,7
복제약,17
생산,51
선정돼,3
라이선스를,5
확보했다,8
셀트리온과,69
기업인,23
한미약품,8
동방에프티엘은,3
중저소득,9
국가,12
여개에,3
복제약을,9
공급할,9
계획이었다셀트리온,1
코로나,5
상황이,19
완화돼,3
해지했다고,4
말했다다만,2
화이자의,7
팍스로비드의,3
복제약은,3
개발을,121
완료해,20
세계보건기구에,3
허가를,224
신청해둔,3
상태다한미약품도,1
생산을,15
위한,364
해지했다한미약품,1
생산을,3
공정,11
개발에만,4
몇,17
년이,3
걸리는데,3
엔데믹이,3
빨리,5
왔다며,6
애초에,3
수익을,5
진행한,50
아니고,6
저소득,9
접근성을,5
높이고자,3
시작했는데,3
엔데믹으로,3
그,54
부분이,12
해소돼,3
취지가,3
모호해졌다고,3
밝혔다제넨셀도,1
월,9
중인,107
치료제의,24
인도,2
임상,622
상,2
계획을,46
승인받았지만,2
잠정,9
중단한,2
상태다,22
다만,49
국내에서는,4
후보물질의,7
상,6
환자,224
투약을,6
종료했으며,2
결과를,120
분석한,4
향후,125
전략을,35
짤,2
계획이라고,17
밝혔다오리지널,1
개발사도,3
사업,196
축소에,1
나섰다머크는,1
유럽에서,123
진행하던,4
몰누피라비르의,3
허가,454
신청을,192
자진,3
철회했다,4
유럽의약품청,4
산하,9
자문위원회가,3
정식,6
권고하지,3
않기로,20
해서다다만,1
머크는,4
치료제를,10
호흡기세포융합바이러스,2
인플루엔자,2
기타,6
가능성이,36
바이러스에,2
사용할,9
있는지,12
알아보기,2
연구를,45
계속하고,2
여러,43
나라에서,2
사용,15
중이라고,11
밝혔다그러나,2
업계의,7
이러한,30
결정이,22
사회에,5
미치는,24
영향은,14
크지,10
않을,15
것이라는,40
분석이,13
나온다,31
몰누피라비르는,3
애초에,3
정식으로,5
허가받은,11
제품도,16
아닐뿐더러,3
엔데믹으로,5
접어들어,3
국가도,3
치료제가,7
필요하지,4
않아,19
없을,14
말했다사진연합뉴스,1
머크,1
라게브리오,1
자진철회셀트리온한미약품도,1
해지,2
먹는치료제,2
라게브리오연합뉴스,2
제공서울연합뉴스,4
조현영,24
관련,178
하나둘,2
모양새다,6
어려워서다,1
엔데믹은,1
대유행한,1
팬데믹이,3
종식되는,1
국면을,1
뜻한다,3
해지했다,4
한미약품과,2
계획이었다,2
한미약품도,3
제넨셀도,1
지역에서,13
사업을,66
축소하는,1
하면서,7
결정이다,3
그러나,20
,21
편입,15
우량기업배터리반도체바이오,1
섹터,8
주도기업에,1
집중투자이데일리,1
김보겸,2
삼성자산운용은,4
시장을,99
대표하는,20
우량기업에,7
상장지수펀드를,2
새롭게,14
상장한다고,9
,11
는,17
한국거래소가,6
산출하는,6
지수를,4
추종한다,6
한국거래소는,6
나스닥의,6
우량기업을,6
별도로,13
관리하는,24
글로벌,5
세그먼트를,8
벤치마킹해,6
선정했다,8
세그먼트의,6
담아,9
지수로,6
지수다코스닥,2
재무실적뿐만,4
아니라,83
환경사회지배구조,9
요건까지,6
감안한,6
엄격한,16
지정,6
조건을,14
기업만을,5
담고,7
지수도,7
코스닥,20
지수처럼,6
소부장소재부품장비,2
기업,8
제약바이오,2
유망,9
섹터의,19
비중이,36
높을,7
뿐만,17
해당,113
개별,17
종목들에,6
더,126
집중,18
차별점도,6
보유하고,64
있다실제로,5
의,6
종목에는,6
차전지,5
핵심,63
소재기업인,6
엘앤에프,2
천보와,1
반도체,5
서울반도체,1
제약,5
알테오젠,1
레고켐바이오사이언스,1
포함됐다,13
총,187
보수는,6
로,6
최저이며,6
여타,7
들에,6
비해서도,6
낮은,29
수준이다,4
개인연금,6
퇴직연금,6
계좌에서,6
투자가,15
가능하다김도형,5
컨설팅본부장은,6
,4
정부가,14
육성하는,6
차전지,5
산업의,14
기업들에,7
높은,96
비중으로,6
상품으로,1
선보인,13
물론,67
초과하는,6
수익률,7
성과를,69
기록하고,26
국내,6
투자하기를,5
원하는,10
투자자들에게,6
좋은,50
선택이,6
될,113
전했다,34
세그멘트,1
소속,12
구성반도체,1
콘텐츠,1
투자이데일리,1
미래에셋자산운용은,5
밝혔다,3
는,8
기술력을,7
투자한다,21
기초지수는,6
지수로,1
년,88
한국거래소에서,6
조원,17
규모다,24
이는,49
전체조원의,5
를,6
차지한다,6
반도체와,6
차전지제조,6
서비스콘텐츠,6
산업군에,6
고르게,7
투자한다대표적으로,2
반도체의,5
경우,125
공정에서,6
기술을,63
공급하는,13
소부장소재부품장비,10
챗,6
인공지능,6
산업,21
성장으로,10
규모가,25
확대되며,13
지수에,6
포함된,8
리노공업,2
파운드리,7
수혜가,8
예상된다전기차,3
밸류체인의,6
핵심인,6
소재,24
기업들도,7
대상이다,9
올,68
증시를,7
견인할,19
정도로,20
급성장했다,6
대장주인,7
에코프로비엠의,2
년,14
연매출,9
천억원,3
수준에서,9
조원으로,6
급등했으며,2
조원,17
규모로,21
성장할,20
전망된다안정적인,4
재무,10
구조를,8
기반으로,32
연구실적이,6
기업에도,6
엘엔에프,5
중에서도,9
상대적으로,18
시가총액이,10
크고,1
일정,12
수준,12
자기자본을,6
갖춘,32
대상이다미래에셋자산운용은,4
고객을,6
이벤트를,7
진행한다,16
월,76
일까지,6
대신증권에서,6
대상,62
일,6
고객들에게는,5
추첨을,6
문화상품권이,5
증정된다,5
이벤트,5
증권사,12
홈페이지에서,7
있다신승우,4
운용부문,6
매니저는,6
나스닥,4
이끄는,11
애플,6
구글,6
아마존처럼,6
코스닥에도,6
수준의,28
기술력과,7
경쟁력을,194
가진,25
기업들이,28
시장평가,4
연구실적까지,6
두루,7
싶다면,6
코스닥글로벌,5
주목할,9
만하다고,2
보건산업진흥원,1
년,5
백서,1
발간,1
대,4
제약바이오,1
구도,1
변화글로벌,1
빅파마,4
들어가자,1
기술,87
수출은,3
감소아직,1
세계시장의,1
수준,1
톱,2
기업도,4
없어갈길,1
멀다지적도,1
사진게티이미지뱅크지난해,1
제약바이오업계의,1
수출이,1
조원,2
전년대비,11
,1
급감했다,1
경기침체,1
영향으로,14
빅파마들이,2
기술도입,2
비용을,10
줄인,22
영향이다,3
년간,2
제약바이오업계에선,2
삼성바이오로직스,9
생산업체를,1
매출이,74
급증한,1
집계됐다한국보건산업진흥원은,1
년,23
재발간한,1
년,1
보건산업백서를,1
일,110
공개했다,20
제약,16
의료기기,27
변화백서에,1
제약바이오기업의,1
기술수출은,2
건,1
계약,57
규모는,85
조,10
억원으로,1
사상,29
최대치를,1
규모조억원보다,1
감소한,1
수치다진흥원은,1
전세계적인,1
고강도,1
긴축통화,1
기조에,3
중장기적인,1
경기침체에,1
대비해,1
현금유동성을,1
확보하려는,1
경향으로,1
기술도입이나,1
전략적인,1
투자비용을,1
것으로,5
분석했다기술,1
년도에,1
조억원,1
규모에서,1
년에,1
조억원,1
년,19
조억원으로,1
증가하며,15
처음으로,19
조원을,1
돌파했다,16
기업별,1
계약규모를,1
분석해보면,1
레고캠바이오가,1
항체약물복합체로,1
규모의,99
기술이전,5
단일,21
규모로는,1
컸고,1
바이오가,2
퇴행성뇌질환,1
치료,103
이중항체,62
물질인,1
로,1
프랑스,195
사노피에,1
기술이전한,1
건이,1
뒤를,6
이었다,2
진흥원은,3
반환의무가,1
없는,48
선급금으로,1
만,1
달러를,2
수령한,2
것에,4
높이,1
평가했다전체,1
수출,3
계약의,2
분의,10
인,1
건은,1
바이오의약품에,4
해당되는,1
기술이나,1
물질이었다,1
전통제약사보다는,1
제넥신,1
티움바이오,1
바이오벤처의,1
성과가,17
두드러졌다고,1
분석했다,22
화장품,3
보건산업,3
꾸준히,43
년,16
조억원에서,1
조억원으로,1
년만에,2
배,5
증가했다,18
생산은,3
같은,153
기간,64
조억원에서,1
조원으로,1
증가했다,1
생산에서,1
부분을,7
차지하는,22
조억원에서,1
조억원으로,1
증가했고,1
수출도,1
급증했다년,1
생산규모,1
위와,2
위는,1
모더나코리아와,1
한국아스트라제네카의,1
백신이,5
차지했고,2
위부터,1
위가,1
셀트리온의,209
렘시마,1
트룩시마,33
렉키로나주,1
허쥬마,15
생산실적이,1
이상인,18
업체는,2
곳이었다,1
바이오의약품,75
위는,2
녹십자,2
모더나코리아,1
한국아스트라제네카,1
화학,1
플라즈마,1
이수앱시스,1
대웅제약,3
보령바이오파마,1
동아에스티,2
이었다매출,1
제약기업,3
순위는,3
유한양행,3
녹십자,1
종근당,2
순이었지만,1
년엔,2
셀트리온,41
삼성바이오로직스,4
녹십자,1
순으로,3
조정이,19
있었다,17
급등했고,1
삼성바이오로직스가,3
진입한,5
것이다국내,1
의료기기업체,1
바디프랜드,1
삼성메디슨,1
오스템임플란트,2
애보트,2
아이아이컴바인드에서,1
바이오센서,1
씨젠,1
바디프랜드로,1
바뀌었다,1
우리나라,1
제약바이오산업은,1
갈,6
길이,1
멀다며,1
한국의,1
제약시장,2
위,1
밖에,2
되지,15
않으며,5
톱,2
,1
또는,34
드는,3
제약바이오기업이,1
없다고,32
지적했다,5
대부분의,1
중소규모,1
제약기업은,1
내수시장,1
제네릭,4
중심의,23
다품종,1
소량생산,1
구조에,2
의존하고,1
있다며,70
기술선점과,1
경쟁력,41
확보를,48
범정부적,1
지원이,3
필요하다고,1
강조했다,43
엔데믹풍토병으로,1
굳어진,1
감염병을,1
사회공헌적,1
